title,coffee_type,rating,reviews,price_per_kg
"café bustelo espresso ground coffee, dark roast, 36-ounce canister","espresso,dark roast",4.8,774,14.618851655888694
"great value 100% arabica caramel medium roast coffee pods, 12 ct","caramel,arabica,medium roast",4.5,554,12.6984126984127
"caf bustelo, espresso style dark roast ground coffee, 10 oz. can","espresso,dark roast",4.7,388,17.354497354497354
"dunkin’ caramel me crazy ground coffee, 11 ounces",caramel,4.3,292,25.529185375240537
"chock full onuts original blend ground coffee, medium roast, 30.5 oz. can",medium roast,4.8,524,9.529316525962761
"new england coffee blueberry cobbler medium roast ground coffee, 11 oz, bag",medium roast,4.7,360,18.345093008338676
"mccafe premium roast ground coffee, medium roast, 12 oz bagged",medium roast,4.5,568,20.105820105820104
"maxwell house half caff ground coffee, 25.6 oz. canister",,4.8,450,13.0770290753755
"dunkin’ original blend coffee, medium roast coffee, 12 oz bag",medium roast,4.8,495,23.398001175778955
"folgers 100% colombian coffee, medium roast ground coffee, 33.7 ounce canister","colombian,medium roast",3.5,8,14.632614611680971
"eight o'clock, the original, medium roast ground coffee, 36 oz",medium roast,4.8,395,24.005486968449933
"great value french roast ground, 100% arabica, medium roast, ground coffee, 32 oz","french,french roast,arabica,medium roast",4.8,143,12.918871252204585
"seattle's best coffee 6th avenue bistro dark roast ground coffee, 20 oz",dark roast,4.7,190,14.532627865961201
"great value 100% arabica creamy hazelnut medium roast arabica coffee pods, 12 ct","arabica,medium roast",4.4,320,12.6984126984127
"great value 100% arabica house blend medium roast coffee pods, 48 ct","arabica,medium roast",4.4,758,10.927395649617871
"starbucks pike place roast, ground coffee, medium roast, 12 oz",medium roast,4.5,1309,26.39623750734862
"new england coffee chocolate cappuccino, medium roast, ground coffee, 11 oz.","cappuccino,medium roast",4.6,196,18.345093008338676
"new england coffee donut shop blend, light roast, ground coffee, 11 oz.",light roast,4.6,64,15.843489416292496
"dunkin' original blend, medium roast coffee, 30-ounce canister",medium roast,4.8,870,21.069958847736626
"folgers classic decaf ground coffee, medium roast, 25.9-ounce",medium roast,4.5,64,16.668936402015525
"starbucks mocha flavored coffee, ground coffee, naturally flavored, 11 oz",mocha,4.4,345,28.80051314945478
"seattle's best coffee 6th avenue bistro, fair trade organic, ground coffee, 12 oz",,4.7,614,17.577895355673135
"new england coffee french vanilla medium roast ground coffee, 11 oz, bag","french,medium roast",4.6,151,18.345093008338676
"starbucks breakfast blend, ground coffee, medium roast, 12 oz",medium roast,4.6,532,26.39623750734862
"folgers hazelnut artificially flavored ground coffee, 11.5-ounce",,4.6,585,17.54601226993865
"gevalia house blend medium roast 100% arabica ground coffee, for a keto and low carb lifestyle, 20 oz bag","arabica,medium roast",4.6,547,22.433862433862437
"seattle's best coffee post alley blend dark roast ground coffee, 12 oz",dark roast,4.7,420,17.577895355673135
"great value 100% arabica french vanilla medium roast ground coffee pods, 48 ct","french,arabica,medium roast",4.5,461,10.927395649617871
"new england coffee cinnamon hazelnut ground coffee, 11 oz.",,4.5,131,18.345093008338676
"mccafe breakfast blend ground coffee, medium roast, 12 oz bagged",medium roast,4.7,107,20.105820105820104
"folgers classic roast coffee k-cup pods, medium roast coffee, 60-count","medium roast,classic roast",4.7,2444,17.60141093474427
"great value 100% arabica colombian medium-dark roast ground coffee, 32 oz, bag","colombian,arabica,medium-dark roast,dark roast",4.5,96,12.918871252204585
"starbucks french roast, ground coffee, dark roast, 28 oz","french,french roast,dark roast",4.7,624,23.280423280423282
"dunkin cinnamania artificially flavored ground coffee, 11 ounces",,4.5,184,27.966645285439384
"seattle's best coffee portside blend medium roast ground coffee, 12 oz",medium roast,4.3,255,45.88477366255144
"folgers half caff ground coffee, medium roast, 25.4-ounce",medium roast,4.8,682,30.37078183585613
"yuban traditional medium roast ground coffee, 31 oz. jug",medium roast,4.6,314,22.42831133363678
"folgers french vanilla artificially flavored ground coffee, 11.5-ounce",french,4.3,615,56.71779141104294
"folgers classic roast ground coffee, 40.3-ounce",classic roast,3.8,93,12.183807439824944
"café bustelo, espresso style dark roast ground coffee, vacuum-packed 10 oz. brick","espresso,dark roast",4.7,914,13.26278659611993
"folgers classic roast ground coffee, medium roast coffee, 25.9 ounce canister","medium roast,classic roast",4.4,740,13.57755685687049
"maxwell house original roast ground coffee, 42.5 oz. canister",,4.8,1321,8.233048385758154
"maxwell house the original roast instant coffee, 8 oz jar",instant coffee,4.5,730,4.3489086231222505
"mccafe premium roast coffee k-cup coffee pods, medium roast, 24 count for keurig brewers",medium roast,4.7,2738,21.92827748383304
"starbucks house blend, medium roast k-cup coffee pods, 100% arabica, 22 ct​","arabica,medium roast",4.5,1295,25.204425204425203
"great value decaf 100% arabica breakfast blend medium roast ground coffee pods, 12 ct","arabica,medium roast",4.2,150,12.6984126984127
"folgers classic roast k-cup pods, medium roast coffee, 48 count","medium roast,classic roast",4.7,2444,19.635508524397412
"mccafe breakfast blend ground coffee, medium roast, 30 oz canister",medium roast,4.8,428,25.749559082892414
"folgers black silk ground coffee, smooth dark roast coffee, 33.7ounce canister","black silk ground coffee,dark roast",4.9,20,14.632614611680971
"folgers black silk ground coffee, smooth dark roast coffee, 22.6ounce canister","black silk ground coffee,dark roast",4.6,11,16.10738255033557
"krispy kreme classic coffee, keurig single serve k-cup pods, medium roast, 24 count",medium roast,4.5,949,21.92827748383304
"community coffee cafe special medium roast ground coffee, 12 oz, bag",medium roast,4.7,269,38.065843621399175
"mccafe breakfast blend k-cup coffee pods, light roast, 24 count for keurig brewers",light roast,4.7,740,21.92827748383304
"folgers classic decaf instant coffee crystals, 8 ounce easy-open flip-top jar",instant coffee,4.7,427,10.993533215755438
"folgers black silk, dark roast coffee, k-cup pods, 24-count",dark roast,4.7,1707,21.92827748383304
"gevalia medium roast columbia arabica ground coffee, 12 oz. bag","arabica,medium roast",4.7,528,24.926513815402707
"1850 pioneer blend coffee, medium roast ground coffee, 12 oz.",medium roast,4.4,3585,24.926513815402707
"maxwell house master blend light roast ground coffee, 26.8 oz. canister",light roast,4.7,336,13.10871281916294
"dunkin’ original blend coffee, medium roast coffee, 12 oz bag",medium roast,4.8,495,23.398001175778955
"folgers 100% colombian coffee, medium roast ground coffee, 33.7 ounce canister","colombian,medium roast",3.5,8,14.632614611680971
"mccafe decaf premium roast ground coffee, medium roast, 12 oz bagged",medium roast,4.7,271,20.105820105820104
"1850 black gold coffee, dark roast ground coffee, 12 oz",dark roast,4.5,4165,24.926513815402707
